anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2016,46,32677,0.29,1.9,0.1,9.662,32.786,Noruega,Otoño,2.29,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,150
2016,47,32677,0.27,0.58,0.35,9.098,32.852,Noruega,Otoño,1.2,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,151
2016,48,32677,0.22,0.43,0.5,8.33,32.943,Noruega,Otoño,1.15,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,152
2016,49,32677,0.41,2.19,0.12,7.946,33.019,Noruega,Otoño,2.72,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,153
2016,50,32677,0.04,0.65,0.22,7.654,33.32,Noruega,Otoño,0.91,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,154
2016,51,32677,0.07,1.26,0.01,7.989,33.729,Noruega,Otoño,1.34,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,155
2016,52,32677,0.07,1.48,0.12,7.755,33.596,Noruega,Otoño,1.67,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,156
2017,1,32677,0.37,1.3,0.12,7.354,33.696,Noruega,Invierno,1.79,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,157
2017,2,32677,0.74,1.96,0.31,7.363,33.951,Noruega,Invierno,3.01,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,158
2017,3,32677,0.45,1.08,0.09,7.103,34.013,Noruega,Invierno,1.62,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,159
2017,4,32677,0.25,0.55,0.1,7.192,34.05,Noruega,Invierno,0.9,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,160
2017,5,32677,0.21,0.44,0.18,6.977,34.088,Noruega,Invierno,0.8300000000000001,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,161
2017,6,32677,0.18,0.71,0.28,6.489,34.174,Noruega,Invierno,1.17,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,162
2017,7,32677,0.18,0.69,0.06,6.599,34.234,Noruega,Invierno,0.93,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,163
2017,8,32677,0.2,1.17,0.3,6.334,34.292,Noruega,Invierno,1.67,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,164
2017,9,32677,0.38,1.31,0.31,6.006,34.292,Noruega,Invierno,2.0,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,165
2017,10,32677,0.42,1.59,0.4,5.675,34.282,Noruega,Invierno,2.41,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,166
2017,11,32677,0.47,1.78,0.75,6.11,34.275,Noruega,Invierno,3.0,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,167
2017,12,32677,,,,6.151,34.31,Noruega,Invierno,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,168
2017,13,32677,,,,6.589,34.477,Noruega,Invierno,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,169
2017,14,32677,,,,6.718,34.434,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,170
2017,15,32677,,,,6.827,34.452,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,171
2017,16,32677,,,,6.874,34.404,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,172
2017,17,32677,,,,6.988,34.434,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,173
2017,18,32677,,,,7.526,34.375,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,174
2017,19,32677,,,,7.464,34.197,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,175
2017,20,32677,,,,8.453,34.128,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,176
2017,21,32677,,,,9.308,33.982,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,177
2017,22,32677,,,,9.26,33.968,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,178
2017,23,32677,,,,10.381,33.939,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,179
2017,24,32677,,,,11.723,33.799,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,180
2017,25,32677,,,,11.536,33.748,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,181
2017,26,32677,,,,11.779,33.747,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,182
2017,27,32677,,,,12.602,33.688,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,183
2017,28,32677,,,,13.266,33.596,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,184
2017,29,32677,,,,13.647,33.552,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,185
2017,30,32677,,,,15.118,33.38,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,186
2017,31,32677,,,,15.52,33.285,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,187
2017,32,32677,,,,15.118,33.098,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,188
2017,33,32677,0.0,0.0,0.0,14.785,32.658,Noruega,Verano,0.0,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,189
2017,34,32677,0.0,0.06,0.08,14.776,32.573,Noruega,Verano,0.14,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,190
2017,35,32677,0.0,0.19,0.14,14.457,32.479,Noruega,Verano,0.33,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,191
2017,36,32677,0.0,0.32,0.32,14.444,32.407,Noruega,Verano,0.64,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,192
2017,37,32677,0.0,0.32,0.01,14.507,32.264,Noruega,Verano,0.33,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,193
