anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2015,35,110758,1.25,1.1,0.7,9.46,33.157,Chile,Invierno,3.05,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,87
2015,36,110758,1.17,1.25,1.52,9.41,33.132,Chile,Invierno,3.94,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,88
2015,37,110758,1.45,1.7,1.67,9.103,33.142,Chile,Invierno,4.82,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,89
2015,38,110758,1.42,0.77,0.7,8.785,33.152,Chile,Invierno,2.89,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,90
2015,39,110758,0.85,1.2,1.23,9.314,33.062,Chile,Invierno,3.28,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,91
2015,40,110758,0.77,1.0,1.33,9.412,33.006,Chile,Primavera,3.1,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,92
2015,41,110758,1.13,1.35,0.65,9.61,33.043,Chile,Primavera,3.13,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,93
2015,42,110758,1.8,2.75,2.15,10.008,33.003,Chile,Primavera,6.699999999999999,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,94
2015,43,110758,2.35,2.25,2.05,10.2,32.99,Chile,Primavera,6.65,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,95
2015,44,110758,2.38,2.92,2.17,10.697,33.005,Chile,Primavera,7.47,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,96
2015,45,110758,2.5,2.05,1.7,10.337,33.142,Chile,Primavera,6.25,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,97
2015,46,110758,2.58,2.2,2.03,11.142,33.095,Chile,Primavera,6.8100000000000005,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,98
2015,47,110758,2.53,3.55,2.53,11.495,33.1,Chile,Primavera,8.61,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,99
2015,48,110758,2.78,1.65,1.2,12.601,33.009,Chile,Primavera,5.63,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,100
2015,49,110758,0.0,0.0,0.57,13.186,32.938,Chile,Primavera,0.57,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,101
2015,50,110758,0.22,0.47,0.17,12.275,33.11,Chile,Primavera,0.86,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,102
2015,51,110758,0.38,0.75,0.65,12.041,33.18,Chile,Primavera,1.7799999999999998,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,103
2015,52,110758,0.43,0.57,1.2,12.554,33.164,Chile,Primavera,2.2,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,104
2016,1,110758,1.9,1.33,1.0,13.231,33.15,Chile,Verano,4.23,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,105
2016,2,110758,1.58,0.75,1.17,13.072,33.313,Chile,Verano,3.5,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,106
2016,3,110758,1.6,1.98,0.47,15.231,33.138,Chile,Verano,4.05,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,107
2016,4,110758,1.13,0.95,0.85,15.332,33.148,Chile,Verano,2.93,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,108
2016,5,110758,2.13,1.77,2.63,15.355,33.092,Chile,Verano,6.529999999999999,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,109
2016,6,110758,2.22,2.9,0.9,14.162,33.282,Chile,Verano,6.0200000000000005,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,110
2016,7,110758,2.38,2.72,1.92,13.767,33.359,Chile,Verano,7.02,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,111
