año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2023,51,102424,2.3,2.85,1.32
2023,52,102424,2.48,2.7,1.12
2024,1,102424,2.58,2.57,0.17
2024,2,102424,2.77,2.1,0.23
2024,3,102424,2.85,1.1,0.68
2024,4,102424,2.7,1.65,0.4
2024,5,102424,2.9,2.07,0.73
2024,6,102424,3.42,3.0,0.62
2024,7,102424,0.3,0.15,0.92
2024,8,102424,1.1,1.0,0.45
2024,9,102424,1.45,1.4,0.83
2024,10,102424,1.77,1.6,0.62
2024,11,102424,2.43,2.13,1.2
2024,12,102424,2.6,2.78,0.92
2024,13,102424,3.23,3.07,1.23
2024,14,102424,3.78,2.92,0.58
2024,15,102424,3.17,3.62,0.83
2024,16,102424,2.48,2.1,0.63
2024,17,102424,2.68,2.62,1.18
2024,18,102424,2.83,2.72,1.17
2024,19,102424,2.88,3.55,0.98
2024,20,102424,3.27,3.83,1.7
2024,21,102424,2.82,3.47,2.15
2024,22,102424,3.93,4.08,1.85
2024,23,102424,4.2,4.7,1.43
2024,24,102424,5.33,4.08,1.75
2024,25,102424,0.27,0.28,1.88
2024,26,102424,0.75,0.77,0.78
2024,27,102424,1.07,1.2,1.57
2024,28,102424,1.4,1.58,1.85
2024,29,102424,1.82,2.05,2.23
2024,30,102424,2.1,2.35,2.2
2024,31,102424,NA,NA,NA
2024,32,102424,NA,NA,NA
2024,33,102424,NA,NA,NA
2024,34,102424,NA,NA,NA
2024,35,102424,NA,NA,NA
2024,36,102424,NA,NA,NA
2024,37,102424,NA,NA,NA
2024,38,102424,NA,NA,NA
2024,39,102424,NA,NA,NA
2024,40,102424,NA,NA,NA
2024,41,102424,NA,NA,NA
2024,42,102424,NA,NA,NA
2024,43,102424,NA,NA,NA
2024,44,102424,NA,NA,NA
2024,45,102424,NA,NA,NA
2024,46,102424,NA,NA,NA
2024,47,102424,NA,NA,NA
2024,48,102424,NA,NA,NA
2024,49,102424,NA,NA,NA
2024,50,102424,NA,NA,NA
2024,51,102424,NA,NA,NA
2024,52,102424,NA,NA,NA
