año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2021,49,32677,0.34,0.91,0.05
2021,50,32677,0.23,0.67,0.07
2021,51,32677,0.23,0.71,0.08
2021,52,32677,0.16,0.7,0.12
2022,1,32677,0.27,0.78,0.28
2022,2,32677,0.27,1.09,0.15
2022,3,32677,0.25,1.43,0.13
2022,4,32677,0.19,1.46,0.17
2022,5,32677,0.39,1.35,0.32
2022,6,32677,0.38,1.14,0.24
2022,7,32677,0.49,1.6,0.09
2022,8,32677,0.37,1.49,0.07
2022,9,32677,0.41,1.23,0.04
2022,10,32677,0.37,1.23,0.08
2022,11,32677,0.47,1.01,0.13
2022,12,32677,0.49,0.92,0.11
2022,13,32677,0.3,0.86,0.05
2022,14,32677,0.48,0.87,0.05
2022,15,32677,0.45,0.88,0.09
2022,16,32677,0.17,0.42,0.12
2022,17,32677,0.1,0.25,0.13
2022,18,32677,0.12,0.46,0.15
2022,19,32677,0.14,0.61,0.33
2022,20,32677,0.15,1.25,0.84
2022,21,32677,0.14,1.3,0.73
2022,22,32677,0.45,2.26,1.29
2022,23,32677,0.3,2.41,0.32
2022,24,32677,0.39,1.93,0.65
2022,25,32677,0.28,1.04,0.89
2022,26,32677,0.43,2.71,0.94
2022,27,32677,0.35,2.84,0.68
2022,28,32677,0.33,2.32,0.92
2022,29,32677,0.4,1.23,0.52
2022,30,32677,0.18,0.37,0.25
2022,31,32677,0.42,3.16,0.76
2022,32,32677,0.42,1.37,0.08
2022,33,32677,0.24,0.54,0.14
2022,34,32677,0.89,1.58,0.8
2022,35,32677,0.3,3.1,1.1
2022,36,32677,0.43,1.76,0.81
2022,37,32677,0.27,0.53,0.13
2022,38,32677,0.48,3.15,0.53
2022,39,32677,0.34,1.7,0.48
2022,40,32677,0.71,2.64,1.21
2022,41,32677,0.46,2.21,1.72
2022,42,32677,0.15,0.68,0.29
2022,43,32677,0.32,2.01,0.54
2022,44,32677,0.46,2.82,1.34
2022,45,32677,1.46,5.26,1.94
2022,46,32677,6.05,7.31,2.04
2022,47,32677,7.68,12.15,3.85
2022,48,32677,,,
2022,49,32677,,,
2022,50,32677,,,
2022,51,32677,,,
2022,52,32677,,,
2023,1,32677,,,
2023,2,32677,,,
2023,3,32677,,,
2023,4,32677,,,
2023,5,32677,,,
2023,6,32677,,,
2023,7,32677,,,
2023,8,32677,,,
2023,9,32677,,,
2023,10,32677,,,
2023,11,32677,,,
2023,12,32677,,,
2023,13,32677,,,
2023,14,32677,,,
2023,15,32677,,,
2023,16,32677,,,
2023,17,32677,,,
2023,18,32677,,,
2023,19,32677,,,
2023,20,32677,,,
2023,21,32677,,,
2023,22,32677,,,
2023,23,32677,,,
2023,24,32677,,,
2023,25,32677,,,
2023,26,32677,,,
2023,27,32677,,,
2023,28,32677,,,
2023,29,32677,0.0,0.0,0.0
2023,30,32677,0.0,0.0,0.0
2023,31,32677,0.0,0.0,0.0
2023,32,32677,0.0,0.0,0.02
2023,33,32677,0.0,0.05,0.28
2023,34,32677,0.03,0.43,2.06
2023,35,32677,0.09,2.98,3.41
2023,36,32677,0.24,2.75,0.41
2023,37,32677,0.09,0.29,0.04
2023,38,32677,0.09,0.08,0.04
2023,39,32677,0.08,0.12,0.02
2023,40,32677,0.18,0.19,0.06
2023,41,32677,0.15,0.38,0.01
2023,42,32677,0.19,0.54,0.21
2023,43,32677,0.31,0.69,0.22
2023,44,32677,0.4,0.68,0.24
2023,45,32677,0.21,0.68,0.01
2023,46,32677,0.32,0.71,0.04
2023,47,32677,0.29,0.92,0.16
2023,48,32677,0.42,0.66,0.18
2023,49,32677,0.46,1.15,0.17
