pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Magallanes,120128,2023,34,2023.0,35.0,6.05,3.85,8.348486101190476,-4.498486101190476,4.498486101190476
Chile,Magallanes,120128,2023,35,2023.0,36.0,3.85,6.66,6.790515451388881,-0.13051545138888088,0.13051545138888088
Chile,Magallanes,120128,2023,36,2023.0,37.0,6.66,5.36,9.087105590277764,-3.7271055902777634,3.7271055902777634
Chile,Magallanes,120128,2023,37,2023.0,38.0,5.36,6.62,7.757204885912697,-1.1372048859126966,1.1372048859126966
Chile,Magallanes,120128,2023,38,2023.0,39.0,6.62,1.29,8.499687301587295,-7.209687301587295,7.209687301587295
Chile,Magallanes,120128,2023,39,2023.0,40.0,1.29,0.5,4.748250887896833,-4.248250887896833,4.248250887896833
Chile,Magallanes,120128,2023,40,2023.0,41.0,0.5,0.68,2.5414618109668137,-1.8614618109668135,1.8614618109668135
Chile,Magallanes,120128,2023,41,2023.0,42.0,0.68,1.75,2.007703497023813,-0.257703497023813,0.257703497023813
Chile,Magallanes,120128,2023,42,2023.0,43.0,1.75,3.13,2.407044519300146,0.7229554806998539,0.7229554806998539
Chile,Magallanes,120128,2023,43,2023.0,44.0,3.13,2.45,4.0532871690115435,-1.6032871690115433,1.6032871690115433
Chile,Magallanes,120128,2023,44,2023.0,45.0,2.45,2.85,3.7033002827380983,-0.8533002827380982,0.8533002827380982
Chile,Magallanes,120128,2023,45,2023.0,46.0,2.85,4.749999999999999,3.946990770202025,0.8030092297979743,0.8030092297979743
Chile,Magallanes,120128,2023,46,2023.0,47.0,4.749999999999999,5.08,6.124054970238103,-1.0440549702381032,1.0440549702381032
Chile,Magallanes,120128,2023,47,2023.0,48.0,5.08,4.15,5.819828139880951,-1.6698281398809502,1.6698281398809502
Chile,Magallanes,120128,2023,48,2023.0,49.0,4.15,2.55,4.8444305406745976,-2.2944305406745977,2.2944305406745977
Chile,Magallanes,120128,2023,49,2023.0,50.0,2.55,1.28,3.5919727033730164,-2.3119727033730166,2.3119727033730166
Chile,Magallanes,120128,2023,50,2023.0,51.0,1.28,1.9,2.9184128769841253,-1.0184128769841254,1.0184128769841254
Chile,Magallanes,120128,2023,51,2023.0,52.0,1.9,8.5,2.903749573412697,5.596250426587304,5.596250426587304
Chile,Magallanes,120128,2023,52,2024.0,1.0,8.5,18.0,8.16365463293651,9.83634536706349,9.83634536706349
Chile,Magallanes,120128,2024,1,2024.0,2.0,18.0,14.98,11.34174649305555,3.6382535069444497,3.6382535069444497
Chile,Magallanes,120128,2024,2,2024.0,3.0,14.98,15.28,11.481887931547611,3.7981120684523884,3.7981120684523884
Chile,Magallanes,120128,2024,3,2024.0,4.0,15.28,6.409999999999999,9.291718740079364,-2.881718740079365,2.881718740079365
Chile,Magallanes,120128,2024,4,2024.0,5.0,6.409999999999999,29.99,7.151065848214286,22.83893415178571,22.83893415178571
Chile,Magallanes,120128,2024,5,2024.0,6.0,29.99,7.31,10.025672812500005,-2.7156728125000056,2.7156728125000056
Chile,Magallanes,120128,2024,6,2024.0,7.0,7.31,7.78,8.129596656746031,-0.3495966567460309,0.3495966567460309
Chile,Magallanes,120128,2024,7,2024.0,8.0,7.78,7.5,7.154899154040397,0.3451008459596032,0.3451008459596032
Chile,Magallanes,120128,2024,8,2024.0,9.0,7.5,7.32,7.540674647817457,-0.22067464781745638,0.22067464781745638
Chile,Magallanes,120128,2024,9,2024.0,10.0,7.32,11.75,7.465178107413429,4.284821892586571,4.284821892586571
Chile,Magallanes,120128,2024,10,2024.0,11.0,11.75,18.88,7.535413740079367,11.344586259920632,11.344586259920632
Chile,Magallanes,120128,2024,11,2024.0,12.0,18.88,13.93,8.973176011904746,4.956823988095254,4.956823988095254
Chile,Magallanes,120128,2024,12,2024.0,13.0,13.93,6.879999999999999,8.164349226190467,-1.2843492261904679,1.2843492261904679
Chile,Magallanes,120128,2024,13,2024.0,14.0,6.879999999999999,5.35,7.150081894841276,-1.8000818948412762,1.8000818948412762
Chile,Magallanes,120128,2024,14,2024.0,15.0,5.35,8.45,6.994563984938677,1.4554360150613226,1.4554360150613226
Chile,Magallanes,120128,2024,15,2024.0,16.0,8.45,9.23,7.044500189393939,2.1854998106060615,2.1854998106060615
Chile,Magallanes,120128,2024,16,2024.0,17.0,9.23,12.14,8.293561309523813,3.8464386904761874,3.8464386904761874
Chile,Magallanes,120128,2024,17,2024.0,18.0,12.14,7.71,10.031418184523812,-2.3214181845238118,2.3214181845238118
Chile,Magallanes,120128,2024,18,2024.0,19.0,7.71,8.649999999999999,9.795517996031727,-1.145517996031728,1.145517996031728
Chile,Magallanes,120128,2024,19,2024.0,20.0,8.649999999999999,16.35,9.560619300595238,6.789380699404763,6.789380699404763
Chile,Magallanes,120128,2024,20,2024.0,21.0,16.35,16.43,11.603079657738094,4.826920342261905,4.826920342261905
Chile,Magallanes,120128,2024,21,2024.0,22.0,16.43,4.63,12.566559732142853,-7.936559732142853,7.936559732142853
Chile,Magallanes,120128,2024,22,2024.0,23.0,4.63,6.25,8.594425180826118,-2.344425180826118,2.344425180826118
Chile,Magallanes,120128,2024,23,2024.0,24.0,6.25,6.379999999999999,8.616718854166667,-2.236718854166668,2.236718854166668
Chile,Magallanes,120128,2024,24,2024.0,25.0,6.379999999999999,10.08,8.90853505411256,1.1714649458874398,1.1714649458874398
Chile,Magallanes,120128,2024,25,2024.0,26.0,10.08,19.24,11.485904464285705,7.754095535714294,7.754095535714294
Chile,Magallanes,120128,2024,26,2024.0,27.0,19.24,26.380000000000003,15.401048844246027,10.978951155753975,10.978951155753975
Chile,Magallanes,120128,2024,27,2024.0,28.0,26.380000000000003,42.21,17.788646671626974,24.421353328373026,24.421353328373026
Chile,Magallanes,120128,2024,28,2024.0,29.0,42.21,13.28,16.677499196428567,-3.3974991964285675,3.3974991964285675
Chile,Magallanes,120128,2024,29,2024.0,30.0,13.28,24.23,12.845479560786444,11.384520439213556,11.384520439213556
