pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Magallanes,120128,2024,17,2024.0,18.0,12.14,7.71,9.436699825487,-1.7266998254870005,1.7266998254870005
Chile,Magallanes,120128,2024,18,2024.0,19.0,7.71,8.649999999999999,8.080401755952382,0.5695982440476168,0.5695982440476168
Chile,Magallanes,120128,2024,19,2024.0,20.0,8.649999999999999,16.35,8.01876975965006,8.331230240349942,8.331230240349942
Chile,Magallanes,120128,2024,20,2024.0,21.0,16.35,16.43,10.824041220238101,5.605958779761899,5.605958779761899
Chile,Magallanes,120128,2024,21,2024.0,22.0,16.43,4.63,10.431024647817459,-5.801024647817459,5.801024647817459
Chile,Magallanes,120128,2024,22,2024.0,23.0,4.63,6.25,7.447390059523807,-1.1973900595238067,1.1973900595238067
Chile,Magallanes,120128,2024,23,2024.0,24.0,6.25,6.379999999999999,7.5141710416666605,-1.1341710416666615,1.1341710416666615
Chile,Magallanes,120128,2024,24,2024.0,25.0,6.379999999999999,10.08,7.6602567609127075,2.4197432390872926,2.4197432390872926
Chile,Magallanes,120128,2024,25,2024.0,26.0,10.08,19.24,9.524908874007933,9.715091125992066,9.715091125992066
Chile,Magallanes,120128,2024,26,2024.0,27.0,19.24,26.380000000000003,14.324666582341266,12.055333417658737,12.055333417658737
Chile,Magallanes,120128,2024,27,2024.0,28.0,26.380000000000003,42.21,17.08248382440478,25.127516175595222,25.127516175595222
Chile,Magallanes,120128,2024,28,2024.0,29.0,42.21,13.28,17.15980555239901,-3.879805552399011,3.879805552399011
Chile,Magallanes,120128,2024,29,2024.0,30.0,13.28,24.23,9.710169255952383,14.519830744047617,14.519830744047617
Noruega,Norte,24175,2024,43,2024.0,44.0,0.0,0.0,0.07800435515873022,-0.07800435515873022,0.07800435515873022
Noruega,Norte,24175,2024,44,2024.0,45.0,0.0,0.0,0.06096782738095232,-0.06096782738095232,0.06096782738095232
Noruega,Norte,24175,2024,45,2024.0,46.0,0.0,0.0,0.018090654761904756,-0.018090654761904756,0.018090654761904756
Noruega,Norte,24175,2024,46,2024.0,47.0,0.0,0.0,0.01940183035714284,-0.01940183035714284,0.01940183035714284
Noruega,Norte,24175,2024,47,2024.0,48.0,0.0,0.0,0.05619580357142861,-0.05619580357142861,0.05619580357142861
Noruega,Norte,24175,2024,48,2024.0,49.0,0.0,0.04,0.048586145833333406,-0.008586145833333406,0.008586145833333406
Noruega,Norte,24175,2024,49,2024.0,50.0,0.04,0.04,0.13022027417027418,-0.09022027417027417,0.09022027417027417
Noruega,Norte,24175,2024,50,2024.0,51.0,0.04,0.02,0.07947193091630593,-0.059471930916305926,0.059471930916305926
Noruega,Norte,24175,2024,51,2024.0,52.0,0.02,0.17,0.10358263392857146,0.06641736607142855,0.06641736607142855
Noruega,Centro,32677,2023,29,2023.0,30.0,0.0,0.0,0.13745121527777754,-0.13745121527777754,0.13745121527777754
Noruega,Centro,32677,2023,30,2023.0,31.0,0.0,0.0,0.16077312996031723,-0.16077312996031723,0.16077312996031723
Noruega,Centro,32677,2023,31,2023.0,32.0,0.0,0.02,0.08413013888888896,-0.06413013888888895,0.06413013888888895
Noruega,Centro,32677,2023,32,2023.0,33.0,0.02,0.33,0.2683967162698406,0.06160328373015944,0.06160328373015944
Noruega,Centro,32677,2023,33,2023.0,34.0,0.33,2.52,0.40332112058080766,2.1166788794191924,2.1166788794191924
Noruega,Centro,32677,2023,34,2023.0,35.0,2.52,6.48,2.7861953273809523,3.693804672619048,3.693804672619048
Noruega,Centro,32677,2023,35,2023.0,36.0,6.48,3.4000000000000004,5.624363685515875,-2.2243636855158746,2.2243636855158746
Noruega,Centro,32677,2023,36,2023.0,37.0,3.4000000000000004,0.42,4.189632548250356,-3.769632548250356,3.769632548250356
Noruega,Centro,32677,2023,37,2023.0,38.0,0.42,0.21,2.457545625000002,-2.247545625000002,2.247545625000002
Noruega,Centro,32677,2023,38,2023.0,39.0,0.21,0.22,1.6618745531204897,-1.4418745531204897,1.4418745531204897
Noruega,Centro,32677,2023,39,2023.0,40.0,0.22,0.43,1.1600937301587284,-0.7300937301587285,0.7300937301587285
Noruega,Centro,32677,2023,40,2023.0,41.0,0.43,0.54,0.6411647420634924,-0.10116474206349235,0.10116474206349235
Noruega,Centro,32677,2023,41,2023.0,42.0,0.54,0.94,0.750481210317461,0.189518789682539,0.189518789682539
Noruega,Centro,32677,2023,42,2023.0,43.0,0.94,1.22,1.1442698160173155,0.0757301839826845,0.0757301839826845
Noruega,Centro,32677,2023,43,2023.0,44.0,1.22,1.32,1.437254419642856,-0.11725441964285599,0.11725441964285599
Noruega,Centro,32677,2023,44,2023.0,45.0,1.32,0.9,1.5425540724206375,-0.6425540724206374,0.6425540724206374
Noruega,Centro,32677,2023,45,2023.0,46.0,0.9,1.07,1.2501292559523811,-0.18012925595238105,0.18012925595238105
Noruega,Centro,32677,2023,46,2023.0,47.0,1.07,1.37,1.2600051877289367,0.10999481227106345,0.10999481227106345
Noruega,Centro,32677,2023,47,2023.0,48.0,1.37,1.26,1.4396866369047607,-0.17968663690476072,0.17968663690476072
Noruega,Centro,32677,2023,48,2023.0,49.0,1.26,1.7799999999999998,1.3090000297619033,0.4709999702380965,0.4709999702380965
Noruega,Centro,32677,2023,49,2023.0,50.0,1.7799999999999998,0.1999999999999999,1.8347131696428576,-1.6347131696428576,1.6347131696428576
Noruega,Centro,32677,2023,50,2023.0,51.0,0.1999999999999999,0.16,0.8740135714285711,-0.714013571428571,0.714013571428571
Noruega,Centro,32677,2023,51,2023.0,52.0,0.16,0.1699999999999999,0.6762377033730164,-0.5062377033730164,0.5062377033730164
Noruega,Centro,32677,2023,52,2024.0,1.0,0.1699999999999999,0.27,0.6331542830086577,-0.3631542830086577,0.3631542830086577
Noruega,Centro,32677,2024,1,2024.0,2.0,0.27,0.4399999999999999,0.36549653273809546,0.07450346726190443,0.07450346726190443
Noruega,Centro,32677,2024,2,2024.0,3.0,0.4399999999999999,0.64,0.5469911111111107,0.09300888888888936,0.09300888888888936
Noruega,Centro,32677,2024,3,2024.0,4.0,0.64,0.6500000000000001,0.6554209226190472,-0.0054209226190470305,0.0054209226190470305
Noruega,Centro,32677,2024,4,2024.0,5.0,0.6500000000000001,0.88,0.7238382539682539,0.15616174603174615,0.15616174603174615
Noruega,Centro,32677,2024,5,2024.0,6.0,0.88,0.75,0.9437605853174589,-0.19376058531745888,0.19376058531745888
Noruega,Centro,32677,2024,6,2024.0,7.0,0.75,0.8200000000000001,0.9245346329365072,-0.10453463293650711,0.10453463293650711
